run,trades,ending_r,max_drawdown_r,min_equity_r,max_equity_r
277,21,21.0,4.0,-1.0,25.0
278,21,21.0,7.0,-3.0,21.0
279,21,21.0,5.0,5.0,25.0
280,21,21.0,4.0,1.0,22.0
281,21,21.0,5.0,-4.0,21.0
282,21,21.0,5.0,-3.0,21.0
283,21,21.0,5.0,-2.0,21.0
284,21,21.0,4.0,3.0,23.0
285,21,21.0,4.0,-4.0,22.0
286,21,21.0,6.0,5.0,22.0
287,21,21.0,7.0,-3.0,22.0
288,21,21.0,10.0,4.0,31.0
289,21,21.0,6.0,-1.0,22.0
290,21,21.0,10.0,-1.0,22.0
291,21,21.0,6.0,-2.0,27.0
292,21,21.0,6.0,-7.0,24.0
293,21,21.0,6.0,-2.0,21.0
294,21,21.0,5.0,-1.0,21.0
295,21,21.0,3.0,2.0,24.0
296,21,21.0,6.0,-2.0,27.0
297,21,21.0,5.0,-1.0,22.0
298,21,21.0,4.0,-1.0,21.0
299,21,21.0,5.0,-1.0,22.0
300,21,21.0,3.0,3.0,23.0
301,21,21.0,7.0,-3.0,28.0
302,21,21.0,8.0,-3.0,22.0
303,21,21.0,4.0,-1.0,23.0
304,21,21.0,4.0,-5.0,22.0
305,21,21.0,4.0,-3.0,23.0
306,21,21.0,6.0,-2.0,22.0
307,21,21.0,5.0,-2.0,21.0
308,21,21.0,6.0,4.0,22.0
309,21,21.0,6.0,-1.0,21.0
310,21,21.0,4.0,-3.0,21.0
311,21,21.0,5.0,-6.0,21.0
312,21,21.0,4.0,4.0,23.0
313,21,21.0,5.0,-1.0,22.0
314,21,21.0,4.0,-1.0,22.0
315,21,21.0,6.0,4.0,23.0
316,21,21.0,4.0,-5.0,23.0
317,21,21.0,7.0,-3.0,23.0
318,21,21.0,3.0,2.0,23.0
319,21,21.0,3.0,-4.0,21.0
320,21,21.0,9.0,4.0,22.0
321,21,21.0,5.0,0.0,24.0
322,21,21.0,5.0,-6.0,23.0
323,21,21.0,5.0,4.0,21.0
324,21,21.0,8.0,-6.0,22.0
325,21,21.0,5.0,-6.0,22.0
326,21,21.0,7.0,-7.0,21.0
327,21,21.0,4.0,-3.0,23.0
328,21,21.0,7.0,-1.0,22.0
329,21,21.0,4.0,3.0,21.0
330,21,21.0,5.0,5.0,21.0
331,21,21.0,4.0,-1.0,25.0
332,21,21.0,5.0,-1.0,22.0
333,21,21.0,5.0,-2.0,21.0
334,21,21.0,7.0,-2.0,24.0
335,21,21.0,4.0,4.0,21.0
336,21,21.0,5.0,-3.0,21.0
337,21,21.0,4.0,-5.0,21.0
338,21,21.0,6.0,5.0,25.0
339,21,21.0,10.0,4.0,22.0
340,21,21.0,4.0,-5.0,25.0
341,21,21.0,7.0,-2.0,24.0
342,21,21.0,8.0,-1.0,21.0
343,21,21.0,8.0,3.0,21.0
344,21,21.0,9.0,-2.0,21.0
345,21,21.0,8.0,-1.0,24.0
346,21,21.0,6.0,-7.0,22.0
347,21,21.0,4.0,-4.0,21.0
348,21,21.0,4.0,-3.0,24.0
349,21,21.0,7.0,-8.0,23.0
350,21,21.0,5.0,0.0,22.0
351,21,21.0,7.0,4.0,22.0
352,21,21.0,3.0,-3.0,23.0
353,21,21.0,4.0,-4.0,21.0
354,21,21.0,5.0,5.0,22.0
355,21,21.0,6.0,-1.0,24.0
356,21,21.0,5.0,-1.0,22.0
357,21,21.0,4.0,-2.0,23.0
358,21,21.0,4.0,-4.0,22.0
359,21,21.0,5.0,-2.0,22.0
360,21,21.0,4.0,-3.0,21.0
361,21,21.0,5.0,-3.0,21.0
362,21,21.0,9.0,2.0,21.0
363,21,21.0,7.0,-3.0,28.0
364,21,21.0,9.0,1.0,21.0
365,21,21.0,6.0,-2.0,23.0
366,21,21.0,4.0,2.0,21.0
367,21,21.0,8.0,5.0,29.0
368,21,21.0,6.0,5.0,24.0
369,21,21.0,4.0,-1.0,22.0
370,21,21.0,5.0,-2.0,25.0
371,21,21.0,5.0,0.0,21.0
372,21,21.0,5.0,3.0,21.0
373,21,21.0,6.0,-3.0,21.0
374,21,21.0,4.0,5.0,24.0
375,21,21.0,4.0,-5.0,24.0
376,21,21.0,5.0,-6.0,23.0
377,21,21.0,4.0,-4.0,23.0
378,21,21.0,8.0,4.0,29.0
379,21,21.0,4.0,-2.0,21.0
380,21,21.0,3.0,-4.0,24.0
381,21,21.0,7.0,-1.0,25.0
382,21,21.0,4.0,-1.0,21.0
383,21,21.0,4.0,-1.0,23.0
384,21,21.0,9.0,-1.0,23.0
385,21,21.0,4.0,-3.0,25.0
386,21,21.0,9.0,4.0,22.0
